epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.40685713291168213,0.0010000000474974513,1.39847731590271,0.8154571652412415,0.6272000074386597,1.094868779182434,0.8700000047683716
1,0.5176571607589722,0.0010000000474974513,1.2587114572525024,0.8977142572402954,0.8547999858856201,0.746245265007019,0.992900013923645
2,0.5803714394569397,0.0010000000474974513,1.1822290420532227,0.9308571219444275,0.8837000131607056,0.7018396258354187,0.9882000088691711
3,0.6205714344978333,0.0010000000474974513,1.1353741884231567,0.948028564453125,0.9333000183105469,0.629559338092804,0.9952999949455261
4,0.6471999883651733,0.0010000000474974513,1.1085126399993896,0.9539428353309631,0.9329000115394592,0.6197088360786438,0.9987000226974487
5,0.6723999977111816,0.0010000000474974513,1.0782291889190674,0.9607714414596558,0.9595999717712402,0.568126916885376,1.0
6,0.6863428354263306,0.0010000000474974513,1.0626003742218018,0.9640856981277466,0.9484000205993652,0.5688002705574036,0.9945999979972839
7,0.7049999833106995,0.0010000000474974513,1.0408889055252075,0.9707714319229126,0.9829999804496765,0.5029812455177307,0.9998000264167786
8,0.7162857055664062,0.0010000000474974513,1.022162914276123,0.9747714400291443,0.9833999872207642,0.5275045037269592,0.9998999834060669
9,0.7324857115745544,0.0010000000474974513,1.0039982795715332,0.977400004863739,0.9670000076293945,0.5135304927825928,0.9995999932289124
10,0.7427999973297119,0.0010000000474974513,0.991717517375946,0.9794571399688721,0.9610999822616577,0.5127033591270447,0.9998999834060669
11,0.749742865562439,0.0010000000474974513,0.9846758842468262,0.9809714555740356,0.9775000214576721,0.4763195812702179,1.0
12,0.7605142593383789,0.0010000000474974513,0.9713690876960754,0.9830571413040161,0.9872000217437744,0.4718981981277466,0.9998000264167786
13,0.7702571153640747,0.0010000000474974513,0.9602991342544556,0.9837999939918518,0.9785000085830688,0.4689783751964569,0.9998999834060669
14,0.7783428430557251,0.0010000000474974513,0.9525389671325684,0.9854000210762024,0.987500011920929,0.4664050340652466,0.9994999766349792
15,0.7838571667671204,0.0010000000474974513,0.9473521113395691,0.9865142703056335,0.9957000017166138,0.43382275104522705,0.9998999834060669
16,0.7885714173316956,0.0010000000474974513,0.9408859610557556,0.9852571487426758,0.9754999876022339,0.4626938998699188,0.9988999962806702
17,0.7964857220649719,0.0010000000474974513,0.9359976649284363,0.9871428608894348,0.9883000254631042,0.43345507979393005,1.0
18,0.8050857186317444,0.0010000000474974513,0.9275582432746887,0.9872571229934692,0.9909999966621399,0.43731874227523804,0.9998999834060669
19,0.8090285658836365,0.0010000000474974513,0.918538510799408,0.9886571168899536,0.9941999912261963,0.4593534767627716,1.0
20,0.8183143138885498,0.0010000000474974513,0.9152114391326904,0.9890285730361938,0.9854000210762024,0.4443865716457367,0.9994000196456909
21,0.8209999799728394,0.0010000000474974513,0.9076595902442932,0.9896000027656555,0.9876000285148621,0.44619712233543396,1.0
22,0.826371431350708,0.0010000000474974513,0.9017083048820496,0.9898571372032166,0.9929999709129333,0.4201507866382599,1.0
23,0.8271714448928833,0.0010000000474974513,0.9005835652351379,0.9905428290367126,0.9962000250816345,0.4179993271827698,0.9998999834060669
24,0.8319143056869507,0.0010000000474974513,0.8954538106918335,0.9916571378707886,0.9980000257492065,0.41070473194122314,0.9998999834060669
25,0.8364285826683044,0.0010000000474974513,0.8910952806472778,0.9913428425788879,0.996999979019165,0.42269930243492126,1.0
26,0.8411142826080322,0.0010000000474974513,0.8876922726631165,0.991771399974823,0.9925000071525574,0.4291369616985321,1.0
27,0.8420857191085815,0.0010000000474974513,0.8865891695022583,0.9919714331626892,0.9968000054359436,0.4112645387649536,0.9998999834060669
28,0.8411428332328796,0.0010000000474974513,0.8857413530349731,0.9923142790794373,0.9939000010490417,0.42210477590560913,1.0
29,0.8469428420066833,0.0010000000474974513,0.8798280358314514,0.99314284324646,0.9901000261306763,0.4286113679409027,1.0
30,0.8689714074134827,0.0005000000237487257,0.858684778213501,0.9948857426643372,0.9954000115394592,0.41150176525115967,1.0
31,0.8750571608543396,0.0005000000237487257,0.8507044911384583,0.9958571195602417,0.9958999752998352,0.40633755922317505,1.0
32,0.8790285587310791,0.0005000000237487257,0.8475618958473206,0.9956571459770203,0.9955999851226807,0.4103517532348633,1.0
33,0.8790000081062317,0.0005000000237487257,0.8463972806930542,0.9959428310394287,0.9980000257492065,0.4024311900138855,1.0
34,0.881600022315979,0.0005000000237487257,0.8435351848602295,0.9961143136024475,0.9970999956130981,0.4017263948917389,1.0
