epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.2920285761356354,0.0010000000474974513,1.5370430946350098,0.7458000183105469,0.4912000000476837,1.3921053409576416,0.8934000134468079
1,0.36480000615119934,0.0010000000474974513,1.4243240356445312,0.8462857007980347,0.4318000078201294,1.2990704774856567,0.9350000023841858
2,0.4009999930858612,0.0010000000474974513,1.3835270404815674,0.866771399974823,0.4790000021457672,1.3115187883377075,0.892799973487854
3,0.42734286189079285,0.0010000000474974513,1.3515630960464478,0.8831714391708374,0.6248999834060669,1.217379093170166,0.9480999708175659
4,0.44922858476638794,0.0010000000474974513,1.3282138109207153,0.8912571668624878,0.680899977684021,1.1923049688339233,0.9552000164985657
5,0.4576285779476166,0.0010000000474974513,1.3151906728744507,0.8935428857803345,0.6050999760627747,1.1865825653076172,0.9520999789237976
6,0.47771430015563965,0.0010000000474974513,1.2965970039367676,0.901285707950592,0.6650000214576721,1.1726115942001343,0.9625999927520752
7,0.4830857217311859,0.0010000000474974513,1.2934106588363647,0.9009714126586914,0.6840000152587891,1.1413391828536987,0.9696000218391418
8,0.48977142572402954,0.0010000000474974513,1.279657244682312,0.9051142930984497,0.6474999785423279,1.1206821203231812,0.9799000024795532
9,0.4969714283943176,0.0010000000474974513,1.272921085357666,0.9064571261405945,0.6794000267982483,1.1239396333694458,0.9746999740600586
10,0.5005714297294617,0.0010000000474974513,1.2673307657241821,0.9099428653717041,0.664900004863739,1.1190201044082642,0.9610000252723694
11,0.5091428756713867,0.0010000000474974513,1.2561767101287842,0.9127428531646729,0.6176999807357788,1.178383231163025,0.9387999773025513
12,0.5120000243186951,0.0010000000474974513,1.2550065517425537,0.9114857316017151,0.691100001335144,1.0959831476211548,0.9663000106811523
13,0.5132856965065002,0.0010000000474974513,1.2537899017333984,0.9125428795814514,0.6848000288009644,1.087782621383667,0.9585000276565552
14,0.515914261341095,0.0010000000474974513,1.2432211637496948,0.9191714525222778,0.673799991607666,1.1041338443756104,0.9797999858856201
15,0.519085705280304,0.0010000000474974513,1.2388787269592285,0.9193714261054993,0.664900004863739,1.0550357103347778,0.9746999740600586
16,0.524228572845459,0.0010000000474974513,1.2309489250183105,0.920285701751709,0.6654999852180481,1.106095552444458,0.9775999784469604
17,0.5272571444511414,0.0010000000474974513,1.2329381704330444,0.9177713990211487,0.6868000030517578,1.086245059967041,0.9843999743461609
18,0.5244571566581726,0.0010000000474974513,1.2349345684051514,0.9198571443557739,0.6855999827384949,1.0891817808151245,0.9678000211715698
19,0.5286856889724731,0.0010000000474974513,1.2278867959976196,0.9203143119812012,0.6942999958992004,1.0460976362228394,0.97079998254776
20,0.529028594493866,0.0010000000474974513,1.2274566888809204,0.9223714470863342,0.7113999724388123,1.0645129680633545,0.9678000211715698
21,0.5390285849571228,0.0010000000474974513,1.2132936716079712,0.92397141456604,0.7152000069618225,1.0279202461242676,0.9631999731063843
22,0.540314257144928,0.0010000000474974513,1.2141495943069458,0.9244571328163147,0.6840000152587891,1.0784608125686646,0.9783999919891357
23,0.5416857004165649,0.0010000000474974513,1.2125221490859985,0.9250285625457764,0.7268000245094299,1.0197465419769287,0.9855999946594238
24,0.538428544998169,0.0010000000474974513,1.2115342617034912,0.927142858505249,0.6980999708175659,1.0257881879806519,0.955299973487854
25,0.541942834854126,0.0010000000474974513,1.2130472660064697,0.9265142679214478,0.6753000020980835,1.0319727659225464,0.9695000052452087
26,0.5428285598754883,0.0010000000474974513,1.2083559036254883,0.9252285957336426,0.6694999933242798,1.0466628074645996,0.963100016117096
27,0.5403714179992676,0.0010000000474974513,1.2097296714782715,0.9270856976509094,0.7088000178337097,1.0392619371414185,0.9632999897003174
28,0.548371434211731,0.0010000000474974513,1.2036153078079224,0.9297142624855042,0.7311999797821045,1.0365256071090698,0.9811000227928162
